f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209
309.718,153.847,0.544725,307.874,183.351,0.649404,307.874,213.777,0.666218,321.704,240.515,0.678644,343.832,264.487,0.658496,370.57,280.16,0.657359,396.386,294.912,0.708544,424.968,307.82,0.793548,454.472,310.586,0.756763,470.146,302.288,0.842495,480.288,282.004,0.77364,489.508,262.643,0.808988,498.728,242.359,0.858379,504.26,222.075,0.78425,506.104,203.635,0.789286,505.182,184.273,0.776487,499.65,168.599,0.700538,380.712,140.017,0.560495,394.542,130.797,0.751606,412.06,126.187,0.80736,432.344,131.719,0.867434,447.096,136.329,0.695509,477.522,138.173,0.8096,483.976,133.563,0.875124,491.352,132.641,0.914504,497.806,132.641,0.853889,502.416,137.251,0.74449,466.458,155.691,0.799614,470.146,168.599,0.918903,476.6,182.429,0.859453,480.288,194.415,0.812788,448.018,211.011,0.883935,456.316,213.777,0.922898,468.302,215.621,0.799821,475.678,213.777,0.790042,480.288,211.933,0.697108,396.386,155.691,0.840838,409.294,153.847,0.828487,418.514,153.847,0.839634,428.656,154.769,0.804903,418.514,159.379,0.810011,409.294,159.379,0.832931,474.756,160.301,0.794736,479.366,154.769,0.838567,486.742,153.847,0.827977,492.274,160.301,0.832633,485.82,162.145,0.843326,479.366,162.145,0.839001,408.372,236.827,0.810636,429.578,234.983,0.781724,448.018,232.217,0.799821,463.692,234.983,0.889928,470.146,233.139,0.858423,477.522,234.983,0.880242,481.21,237.749,0.778151,476.6,243.281,0.818946,469.224,244.203,0.851506,461.848,243.281,0.830321,447.096,243.281,0.734764,426.812,243.281,0.800501,415.748,237.749,0.769086,448.018,235.905,0.715033,462.77,236.827,0.85177,469.224,236.827,0.848091,474.756,236.827,0.832892,469.224,236.827,0.837807,462.77,236.827,0.850107,448.018,236.827,0.678199,412.06,154.769,0.780718,483.054,155.691,0.769683
457.69,292.732,0.774906,457.69,321.928,0.747018,460.71,349.111,0.762811,465.744,379.315,0.784953,478.832,406.498,0.712804,492.927,431.667,0.678773,513.062,453.816,0.719461,538.232,469.925,0.760324,568.435,473.952,0.770505,592.598,468.918,0.797426,615.754,453.816,0.678268,633.876,437.708,0.791956,644.951,413.545,0.800504,651.998,388.376,0.796255,657.032,362.199,0.783749,659.046,335.016,0.745029,662.066,310.854,0.595663,492.927,283.671,0.720602,505.008,270.582,0.787581,521.117,262.528,0.816853,538.232,260.515,0.843543,559.374,262.528,0.774081,591.591,266.555,0.779389,607.7,261.521,0.831205,623.808,262.528,0.820436,637.903,267.562,0.840706,648.978,277.63,0.780195,575.483,299.779,0.808166,575.483,317.901,0.813354,575.483,340.05,0.804255,575.483,358.172,0.737299,553.334,369.247,0.800819,562.395,373.274,0.880395,573.469,376.294,0.822658,583.537,373.274,0.943373,592.598,371.26,0.93917,512.056,299.779,0.912901,521.117,291.725,0.932449,535.212,291.725,0.857913,544.273,300.786,0.870261,533.198,305.82,0.833694,521.117,305.82,0.892978,599.646,303.806,0.856976,609.713,293.738,0.885699,624.815,294.745,0.887137,633.876,304.813,0.870225,623.808,308.84,0.914607,609.713,308.84,0.947223,530.178,407.505,0.788233,546.286,405.491,0.830181,560.381,404.484,0.854185,572.463,405.491,0.860792,584.544,403.477,0.842881,593.605,404.484,0.87,605.686,405.491,0.788679,593.605,412.538,0.854637,583.537,414.552,0.841884,570.449,418.579,0.820244,559.374,417.572,0.821087,545.279,414.552,0.834732,539.239,409.518,0.783306,560.381,410.525,0.854137,571.456,410.525,0.824262,583.537,407.505,0.821717,595.618,405.491,0.739748,583.537,407.505,0.836266,570.449,411.532,0.839255,560.381,410.525,0.82982,528.164,296.759,0.792996,616.761,300.786,0.910226
116.855,262.936,0.833653,116.855,285.054,0.785121,115.086,308.056,0.747749,121.279,329.289,0.762374,131.895,352.292,0.776102,145.166,369.986,0.808589,162.86,385.911,0.723759,184.978,396.528,0.797815,208.865,399.182,0.804669,232.753,398.297,0.814254,257.525,390.335,0.796287,276.988,375.295,0.75465,287.605,354.061,0.794688,293.798,327.52,0.852769,295.567,304.517,0.835,296.452,279.745,0.789587,296.452,257.628,0.761809,135.434,250.55,0.611931,145.166,241.703,0.827242,160.206,239.933,0.833371,176.131,240.818,0.830377,192.941,241.703,0.801157,223.021,240.818,0.855854,238.061,237.279,0.830188,253.101,239.049,0.818707,267.257,242.587,0.766371,278.758,253.204,0.635026,208.865,255.858,0.963046,209.75,270.014,0.95384,209.75,284.169,0.886548,210.635,298.324,0.752337,195.595,311.595,0.912378,202.672,311.595,0.955043,210.635,312.48,0.91093,218.597,311.595,0.877539,227.444,308.056,0.779979,152.244,262.051,0.928504,160.206,255.858,0.928371,172.592,254.973,0.889067,181.439,257.628,0.833836,172.592,262.051,0.857134,160.206,262.051,0.929063,231.868,255.858,0.846525,242.485,248.78,0.89931,252.216,249.665,0.940287,261.064,255.858,0.861879,252.216,260.282,0.927562,243.369,260.282,0.869783,174.362,341.675,0.83072,186.748,334.598,0.812949,196.479,331.059,0.800281,209.75,332.828,0.8768,223.021,331.059,0.873225,233.637,333.713,0.843255,244.254,340.791,0.842943,232.753,344.33,0.796419,222.136,346.099,0.826654,208.865,346.984,0.869061,196.479,346.984,0.891075,185.863,346.984,0.834962,183.209,340.791,0.786248,195.595,338.137,0.791594,209.75,338.137,0.828395,223.021,336.367,0.843497,234.522,339.906,0.757416,223.021,337.252,0.829793,209.75,339.021,0.829027,195.595,339.021,0.787473,166.399,256.743,0.873616,246.023,253.204,0.899584
827.805,237.288,0.713919,827.805,254.519,0.769607,829.619,275.377,0.766275,834.154,294.422,0.817252,840.502,312.56,0.776349,848.664,331.604,0.774228,855.919,347.928,0.825862,868.615,360.625,0.745531,885.846,363.345,0.82157,910.332,362.438,0.745781,933.004,354.276,0.757113,951.142,340.673,0.822043,968.373,324.349,0.757766,980.162,304.398,0.829011,987.417,282.632,0.85327,991.952,260.867,0.81263,992.859,239.102,0.792086,833.247,212.802,0.765331,837.781,209.175,0.805989,846.85,205.547,0.818726,855.012,205.547,0.825465,863.174,209.175,0.859487,906.704,205.547,0.784324,920.308,202.826,0.853238,933.911,202.826,0.835013,946.608,204.64,0.813457,957.49,214.616,0.771839,884.939,231.847,0.900545,884.939,245.45,0.886328,884.032,258.146,0.807599,880.405,270.843,0.764587,868.615,282.632,0.853161,875.87,284.446,0.868483,884.032,287.167,0.874576,892.194,284.446,0.929075,900.356,282.632,0.867045,842.315,234.567,0.911775,849.571,231.847,0.968798,856.826,231.847,0.911651,864.988,236.381,0.810442,856.826,239.102,0.914525,849.571,239.102,0.951673,914.866,236.381,0.882645,923.028,230.033,0.863243,934.818,230.033,0.874435,942.98,233.66,0.862419,934.818,240.009,0.928195,923.028,240.009,0.901845,862.267,311.653,0.845669,866.801,304.398,0.842953,875.87,301.677,0.780956,884.032,304.398,0.866516,893.101,300.77,0.855097,904.891,305.305,0.881246,914.866,311.653,0.89267,906.704,318.908,0.956928,894.915,324.349,0.84611,884.939,326.163,0.886647,874.057,325.256,0.840156,865.895,319.815,0.879593,868.615,311.653,0.851277,876.777,311.653,0.89939,884.032,311.653,0.912678,893.101,311.653,0.905409,906.704,311.653,0.787635,893.101,311.653,0.918975,884.032,311.653,0.919366,876.777,311.653,0.90427,855.012,233.66,0.863868,928.47,232.754,0.994991
821.223,233.52,0.731911,821.223,252.582,0.755285,823.946,270.737,0.767775,828.484,290.707,0.829118,834.839,307.954,0.798979,843.008,327.016,0.799893,851.178,342.448,0.777959,863.886,354.248,0.794308,881.133,357.879,0.790096,906.549,356.064,0.769909,929.243,346.079,0.790013,948.305,333.37,0.767406,965.552,316.123,0.783498,976.445,297.061,0.744717,982.799,275.276,0.779345,986.43,252.582,0.78324,987.337,230.797,0.762641,824.853,210.827,0.778114,829.392,204.472,0.858658,837.562,199.934,0.808848,847.547,199.934,0.817521,856.624,203.565,0.843994,900.195,199.026,0.771825,912.903,196.303,0.798252,925.612,193.58,0.800501,938.32,197.211,0.873386,950.12,205.38,0.818398,878.41,226.258,0.879503,878.41,238.966,0.865826,876.594,250.767,0.821527,874.779,263.475,0.790998,862.978,277.091,0.846474,870.24,277.999,0.890974,878.41,278.906,0.916435,886.579,277.999,0.943563,894.749,275.276,0.794154,835.746,231.704,0.903622,843.008,226.258,0.962252,851.178,226.258,0.888204,858.44,230.797,0.785315,851.178,234.428,0.890802,843.008,234.428,0.942085,908.365,228.981,0.889671,915.627,221.719,0.882362,927.427,220.812,0.874408,936.504,227.166,0.883802,928.335,233.52,0.90775,916.534,233.52,0.898771,856.624,307.046,0.846569,862.07,299.784,0.843128,870.24,296.153,0.807145,878.41,298.877,0.904869,887.487,294.338,0.837871,900.195,298.877,0.955214,911.088,304.323,0.815073,901.103,313.4,0.898892,891.118,317.031,0.830411,879.317,319.754,0.876793,870.24,318.847,0.832567,861.163,314.308,0.867788,861.163,306.138,0.83488,871.148,306.138,0.896591,878.41,306.138,0.925473,888.395,305.231,0.833947,902.011,305.231,0.741172,888.395,305.231,0.840728,878.41,306.138,0.934011,871.148,306.138,0.903294,848.455,228.074,0.851443,921.981,226.258,0.989781
461.545,284.391,0.715292,458.597,315.835,0.659024,459.58,343.349,0.632466,466.458,372.828,0.656878,477.267,403.289,0.678177,494.955,426.872,0.637475,518.538,447.508,0.674803,546.052,459.299,0.744839,573.565,466.178,0.812924,597.148,460.282,0.704139,619.749,449.473,0.673645,636.454,429.82,0.754158,645.297,406.237,0.750117,652.176,380.689,0.83333,659.054,353.175,0.746041,661.02,325.661,0.771937,666.915,301.096,0.666127,500.851,278.495,0.749095,516.573,269.651,0.806257,534.26,262.773,0.845686,553.913,262.773,0.832943,572.583,268.669,0.823528,604.027,266.704,0.737157,619.749,262.773,0.862859,633.506,262.773,0.844105,645.297,268.669,0.850018,656.106,277.512,0.7932,588.305,295.2,0.843556,588.305,316.818,0.884242,588.305,334.505,0.830734,588.305,356.123,0.770577,565.704,364.967,0.909292,574.548,370.862,0.881315,586.339,372.828,0.924818,596.166,371.845,0.964365,604.027,365.949,0.911665,518.538,295.2,0.905357,532.295,288.321,0.881431,543.104,287.339,0.873872,555.878,295.2,0.786309,542.121,302.078,0.917152,530.329,302.078,0.882709,608.94,299.13,0.844079,619.749,290.287,0.883299,630.558,290.287,0.854829,640.384,298.148,0.80668,629.575,303.061,0.883051,619.749,302.078,0.945152,541.138,403.289,0.88233,556.861,401.324,0.817653,570.617,398.376,0.826605,581.426,403.289,0.929801,592.235,400.341,0.79506,603.044,402.307,0.841732,611.888,404.272,0.836989,603.044,410.168,0.854932,590.27,411.15,0.877656,581.426,412.133,0.945525,567.669,411.15,0.877803,554.895,409.185,0.803443,549.982,403.289,0.819737,569.635,404.272,0.853236,581.426,405.255,0.85956,590.27,404.272,0.839855,604.027,404.272,0.818396,590.27,404.272,0.824332,581.426,405.255,0.892847,568.652,404.272,0.855243,536.225,293.235,0.850757,623.68,294.217,0.865756
724.771,217.531,0.655107,719.425,238.915,0.710452,719.425,259.23,0.75226,724.771,281.684,0.793897,729.048,301.999,0.787072,737.602,324.453,0.807857,744.017,342.63,0.838692,752.571,361.876,0.804168,769.678,374.706,0.82441,799.617,373.637,0.709991,829.555,361.876,0.730048,859.493,350.114,0.73573,886.224,333.007,0.718059,905.47,308.415,0.740286,915.093,279.546,0.72473,920.439,248.538,0.743796,922.577,220.738,0.778081,724.771,179.039,0.841221,729.048,177.97,0.831492,736.533,177.97,0.874139,745.086,179.039,0.912682,752.571,181.177,0.845072,802.824,185.454,0.774498,819.932,180.108,0.856028,837.039,180.108,0.893791,854.147,184.385,0.830815,870.185,195.077,0.789905,776.094,212.185,0.870864,769.678,228.223,0.861715,764.332,244.261,0.773468,758.986,259.23,0.796808,751.502,274.199,0.862515,758.986,278.476,0.849781,767.54,281.684,0.900545,778.232,279.546,0.860641,791.063,274.199,0.798453,734.394,211.115,0.867876,741.879,205.769,0.88731,750.432,206.838,0.837998,755.779,213.254,0.811436,749.363,214.323,0.828278,741.879,214.323,0.864611,813.517,217.531,0.853742,823.14,211.115,0.8243,837.039,212.185,0.901078,846.662,218.6,0.832278,837.039,222.877,0.88106,825.278,222.877,0.848304,751.502,308.415,0.80157,753.64,300.93,0.792608,761.125,298.792,0.889982,768.609,300.93,0.857911,780.371,299.861,0.824676,794.271,305.207,0.922848,808.17,309.484,0.778264,795.34,316.968,0.953002,781.44,319.107,0.82752,769.678,320.176,0.855969,761.125,318.038,0.887706,753.64,315.899,0.85373,757.917,308.415,0.834025,763.263,308.415,0.832898,769.678,308.415,0.927055,779.301,308.415,0.874274,795.34,308.415,0.761595,779.301,308.415,0.893818,769.678,308.415,0.931599,762.194,308.415,0.845071,745.086,208.977,0.780632,829.555,214.323,0.917376
194.596,296.948,0.769419,206.894,331.108,0.731058,221.924,366.635,0.686091,239.687,403.528,0.792041,261.55,434.955,0.76749,292.977,458.184,0.701103,325.771,480.046,0.725503,358.564,493.71,0.787279,392.724,493.71,0.805166,425.518,481.413,0.787648,454.212,455.451,0.691705,476.075,426.757,0.748031,488.372,393.963,0.806148,489.739,352.971,0.811436,488.372,317.444,0.791624,481.54,281.918,0.734058,476.075,246.392,0.682164,227.39,254.59,0.788732,235.588,232.728,0.795279,253.351,220.43,0.841983,279.313,216.331,0.820745,303.908,220.43,0.838283,343.534,209.499,0.75213,361.297,194.468,0.772919,384.526,186.27,0.851347,410.488,187.636,0.821346,426.884,198.567,0.783012,336.702,260.056,0.857259,346.267,286.017,0.903487,351.732,314.712,0.805682,359.931,340.673,0.870965,335.336,357.07,0.759463,349.0,361.169,0.888614,362.664,361.169,0.882222,379.06,351.604,0.896873,389.992,343.406,0.85871,256.084,284.651,0.871419,269.748,272.353,0.878966,284.779,266.888,0.852637,303.908,275.086,0.896924,287.511,284.651,0.887732,271.115,286.017,0.920817,374.961,257.323,0.840917,385.892,242.292,0.874093,403.656,240.926,0.94645,417.32,243.659,0.850945,406.388,253.224,0.907929,391.358,258.689,0.924852,325.771,407.627,0.901387,338.068,396.696,0.91642,354.465,391.23,0.823831,370.862,389.864,0.894282,384.526,383.032,0.902223,403.656,383.032,0.982905,422.785,384.398,0.858172,413.22,404.894,0.900946,396.824,417.192,0.859404,380.427,425.39,0.881295,358.564,426.757,0.94857,339.435,421.291,0.849156,336.702,406.261,0.885521,355.832,402.161,0.806548,370.862,396.696,0.911523,391.358,393.963,0.918712,411.854,391.23,0.782192,392.724,403.528,0.869381,374.961,407.627,0.852491,358.564,410.36,0.841971,279.313,275.086,0.819862,394.091,246.392,0.919072
791.542,299.078,0.713729,792.42,315.775,0.751034,796.814,331.593,0.807803,802.965,350.047,0.762653,810.874,365.865,0.815077,818.783,382.561,0.827636,825.813,400.136,0.853195,834.601,414.197,0.859544,853.055,418.59,0.774633,877.66,414.197,0.799011,902.266,401.015,0.812526,922.477,386.076,0.81757,937.416,365.865,0.833344,946.204,344.774,0.819231,950.598,321.926,0.797618,949.719,296.442,0.75401,946.204,274.473,0.767744,787.148,272.716,0.764727,790.663,267.443,0.916771,797.693,266.564,0.92247,804.723,266.564,0.900194,811.753,267.443,0.884046,848.661,260.413,0.768252,861.843,253.383,0.884781,875.024,250.746,0.858941,889.963,252.504,0.868991,903.145,259.534,0.86688,832.843,285.897,0.862176,832.843,298.2,0.861307,831.965,310.502,0.875935,831.086,323.684,0.77259,825.813,336.865,0.853993,831.965,337.744,0.883814,838.995,337.744,0.875695,846.025,336.865,0.848137,853.934,331.593,0.805257,797.693,294.685,0.966148,803.844,288.533,0.877576,810.874,287.655,0.851295,817.904,290.291,0.733374,810.874,294.685,0.845391,803.844,295.563,0.883872,863.6,285.897,0.820132,869.751,276.231,0.831833,881.175,274.473,0.938376,889.084,279.746,0.874076,882.054,286.776,0.875647,874.145,287.655,0.891905,827.571,366.743,0.799341,831.965,360.592,0.830176,835.48,357.956,0.810765,841.631,357.956,0.860804,853.055,353.562,0.821625,861.843,356.198,0.845226,874.145,358.834,0.813356,866.236,365.865,0.903566,854.812,372.016,0.888384,846.025,372.895,0.911623,838.995,373.773,0.910633,832.843,372.016,0.914374,832.843,365.865,0.869231,838.995,364.986,0.900832,844.267,364.986,0.881395,853.055,360.592,0.857604,861.843,359.713,0.744934,853.055,360.592,0.872536,844.267,364.986,0.864305,838.995,364.986,0.910137,807.359,290.291,0.695902,875.024,280.624,0.915433
730.253,290.839,0.395345,728.352,301.297,0.420819,728.352,315.558,0.547467,728.352,329.818,0.653485,729.303,345.981,0.794453,734.056,363.094,0.767875,736.909,382.108,0.773996,743.564,397.32,0.796509,755.923,402.074,0.762325,780.642,400.172,0.753346,805.361,394.468,0.638106,832.932,386.862,0.679436,856.7,377.355,0.686113,873.813,361.192,0.72064,887.123,338.375,0.800944,894.729,314.607,0.810487,898.532,287.986,0.728705,725.5,253.76,0.644797,729.303,248.056,0.765046,735.007,248.056,0.86244,739.761,247.105,0.849958,745.465,248.056,0.829048,780.642,241.401,0.775626,793.952,234.746,0.791882,807.262,231.894,0.827935,822.474,232.844,0.808054,835.784,240.45,0.753847,758.775,268.021,0.831208,753.071,278.479,0.815827,748.317,289.888,0.818285,742.613,301.297,0.848948,740.711,316.508,0.821415,743.564,316.508,0.908748,750.219,317.459,0.967801,758.775,315.558,0.888508,770.184,310.804,0.672236,729.303,280.381,0.840475,734.056,277.528,0.912361,738.81,276.578,0.775615,743.564,278.479,0.836247,741.662,280.381,0.809118,735.007,283.233,0.835833,795.854,266.12,0.851995,802.509,259.465,0.82627,812.016,257.563,0.841185,821.523,263.268,0.850867,812.967,269.923,0.863777,803.459,269.923,0.897733,738.81,345.03,0.761578,739.761,337.424,0.866034,744.514,331.72,0.911493,751.169,331.72,0.94787,763.529,330.769,0.874867,773.036,332.671,0.87812,781.593,338.375,0.646786,773.036,343.129,0.756941,764.48,345.981,0.816097,752.12,347.882,0.8009,747.366,348.833,0.787376,741.662,346.931,0.844159,743.564,341.227,0.810286,748.317,339.326,0.856893,752.12,339.326,0.977855,763.529,338.375,0.837556,773.987,338.375,0.780392,763.529,338.375,0.840136,752.12,339.326,0.965134,748.317,339.326,0.856561,735.958,278.479,0.936702,807.262,262.317,0.82881
